"CaseID","CASEID_NEW","qflag","weight1","weight1_freqwt","weight2","weight1a","weight1a_freqwt","weight_combo","weight_combo_freqwt","duration","speed_flag","consent","xlgb","S1","S2","S3","DOV_Branch","Q3_Refused","Q4","Q5","Q6A","Q6B","Q9","Q10","Q11","Q12","Q14","Q15A7","Q16","Q16_Refused","Q17A","Q17B","Q17C","Q17D","Q19","Q20","Q21A_Year","Q21A_Month","Q21B_Year","Q21B_Month","Q21C_Year","Q21C_Month","Q21D_Year","Q21D_Month","w6_identity","w6_outness","w6_outness_timing","Q23","Q24_Refused","Q25","Q26","Q27","Q28","w6_friend_connect_1","w6_friend_connect_2","w6_friend_connect_3","w6_friend_connect_4","w6_friend_connect_Refused","Q32","Q34","Q35_Refused","w6_sex_frequency","w6_otherdate","w6_how_many","w6_how_meet_Refused","w6_otherdate_app","w6_how_many_app","Past_Partner_Q1","w6_relationship_end_nonmar","w6_breakup_nonmar","w6_relationship_end_mar","w6_who_breakup","Q5_2","Q6A_2","Q9B_2","Q10_2","Q11_2","Q12_2","Q14_2","Q15A7_2_1","Q16_2","Q16_2_Codes","Q17B_2","Q17C_2","Q17D_2","Q20_2","Q21A_2_Year","Q21A_2_Month","Q21B_2_Year","Q21B_2_Month","Q21C_2_Year","Q21C_2_Month","Q21D_2_Year","Q21D_2_Month","Q21E_2_Year","Q21E_2_Month","Q21F_2_start_range","Q21F_2_Year","Q21F_2_Month","w6_identity_2","w6_outness_2","w6_outness_timing_2","Q23_2","Q25_2","Q26_2","Q27_2","Q28_2","w6_friend_connect_2_1","w6_friend_connect_2_2","w6_friend_connect_2_3","w6_friend_connect_2_4","w6_friend_connect_2_Refused","Q32_2","w6_otherdate_2","w6_how_many_2","w6_otherdate_app_2","w6_how_many_app_2","partyid7","PERSNET_hom","ppc10017","ppc21310","ppp20071","ppp20072","ppage","ppagecat","ppagect4","ppeduc","ppeducat","ppethm","ppgender","pphhhead","pphhsize","pphouse","ppincimp","ppmarit","ppmsacat","PPREG4","ppreg9","pprent","PPT01","PPT25","PPT612","PPT1317","PPT18OV","ppwork","Race_1","Race_2","Race_3","Race_4","Race_5","Race_6","race1","race2","race3","race4","race5","race6","race7","race8","race9","race10","race11","race12","race13","race14","race15","w6_took_the_survey","w6_prior_identity_lgb","w6_same_sex_couple","w6_same_sex_couple_gender","w6_q4","w6_q5","w6_q6a","w6_q6b","w6_q9","w6_q10","w6_q11","w6_q12","w6_q14","w6_q15a1_truncated","w6_q15a4_truncated","w6_q15a7","w6_q16","w6_q17","w6_attraction","w6_q19","w6_q20","w6_q21a_year","w6_q21a_month","w6_q21a_month_flag","w6_q21b_year","w6_q21b_month","w6_q21b_month_flag","w6_q21c_year","w6_q21c_month","w6_q21c_month_flag","w6_q21d_year","w6_q21d_month","w6_q21e_year","w6_q21e_month","w6_q21f_year","w6_q21f_month","w6_identity_all","w6_outness_all","w6_outness_timing_all","w6_q23","w6_q24_length","w6_q25","w6_q26","w6_q27","w6_q28","w6_friend_connect_1_all","w6_friend_connect_2_all","w6_friend_connect_3_all","w6_friend_connect_4_all","w6_q32","w6_q34","w6_otherdate_all","w6_how_many_all","w6_otherdate_app_all","w6_how_many_app_all","w6_number_people_met","w6_otherdate_dichotomous","w6_married","relate_duration_at_w6_years","w6_number_people_met_app","weight_combo_v2","partnership_status","female","year_fraction_met","year_fraction_relstart","age_when_met","time_from_met_to_rel","year_fraction_first_cohab","time_from_rel_to_cohab","hcm2017q24_R_cowork","hcm2017q24_R_friend","hcm2017q24_R_family","hcm2017q24_R_sig_other","hcm2017q24_R_neighbor","hcm2017q24_P_cowork","hcm2017q24_P_friend","hcm2017q24_P_family","hcm2017q24_P_sig_other","hcm2017q24_P_neighbor","hcm2017q24_btwn_I_cowork","hcm2017q24_btwn_I_friend","hcm2017q24_btwn_I_family","hcm2017q24_btwn_I_sig_other","hcm2017q24_btwn_I_neighbor","hcm2017q24_school","hcm2017q24_college","hcm2017q24_mil","hcm2017q24_church","hcm2017q24_vol_org","hcm2017q24_customer","hcm2017q24_bar_restaurant","hcm2017q24_party","hcm2017q24_internet_other","hcm2017q24_internet_dating","hcm2017q24_internet_soc_network","hcm2017q24_internet_game","hcm2017q24_internet_chat","hcm2017q24_internet_org","hcm2017q24_public","hcm2017q24_blind_date","hcm2017q24_vacation","hcm2017q24_single_serve_nonint","hcm2017q24_business_trip","hcm2017q24_work_neighbors","hcm2017q24_met_online","hcm2017_q24_length","hcm2017q24_summary_all_codes","w6_relationship_quality","hcm2017q24_met_through_family","hcm2017q24_met_through_friend","hcm2017q24_met_through_as_nghbrs","hcm2017q24_met_as_through_cowork","w6_subject_race","interracial_5cat","partner_mother_yrsed","subject_mother_yrsed","partner_yrsed","subject_yrsed"
519,2435921,2,NA,NA,NA,1.6821,131772,1.90204644203186,132021,0,1,1,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,NA,NA,23,1,1,9,2,2,1,0,2,3,2,5,0,3,5,2,0,0,0,0,2,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.86244690418243,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,12
520,2071877,1,1.1521,90253,NA,1.1455,89736,1.29528212547302,89906,4,0,1,2,2,1,NA,1,NA,1,NA,1,1,41,9,6,5,9,2,3,NA,NA,0,1,NA,1,NA,64,10,64,10,65,6,NA,NA,1,NA,NA,1,NA,2,NA,2,2,1,0,0,0,0,1,3,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,2,5,42,3,2,11,3,1,2,1,5,1,16,6,1,1,2,1,0,1,1,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,1,1,41,9,6,5,9,1,1,2,3,0,1,1,NA,1998,10,0,1998,10,0,1999,6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,63,2,NA,2,2,1,0,0,0,1,3,1,NA,NA,NA,0,0,0,18.75,NA,1.268315076828,2,1,1998.79162597656,1998.79162597656,23,0,1999.45837402344,0.666748046875,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,3,3,0,1,0,0,1,0,10,12,12,14
521,2453829,1,1.0422,81643,NA,1.0362,81173,1.17169046401978,81327,8,0,1,2,2,2,NA,1,NA,2,NA,1,1,28,9,-1,4,6,1,0,NA,NA,0,NA,1,2,2,82,9,83,7,NA,NA,NA,NA,1,NA,NA,2,NA,2,NA,2,2,0,0,0,1,0,1,2,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,-2,2,-2,5,28,2,1,9,2,1,1,0,2,3,6,6,1,4,9,2,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,NA,1,1,28,9,-1,4,6,1,1,1,0,0,1,2,2,2016,9,0,2017,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,24,2,NA,2,2,0,0,0,1,1,2,1,NA,NA,NA,0,0,0,0,NA,1.14729654788971,2,0,2016.70837402344,2017.54162597656,27,0.833251953125,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,4,0,0,0,0,1,0,NA,10,12,12
522,2225427,1,0.814,63767,NA,0.8093,63399,0.915121674537659,63519,14,0,1,2,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,1,1937,8,4,2,8,1,0,NA,1,1,NA,1,28,10,28,11,29,3,29,3,NA,NA,4,82,12,1,NA,NA,3,2,NA,2,2,0,0,0,1,0,1,1,NA,NA,NA,1,1,2,1,2,1,75,7,4,9,2,1,2,1,1,1,7,1,0,2,4,1,0,0,0,0,1,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,1,1,80,8,4,2,8,39,39,1,0,1,1,NA,1,1962,10,0,1962,11,0,1963,3,NA,1963,3,NA,NA,2016,12,1,NA,NA,3,196,2,NA,2,2,0,0,0,1,1,NA,1,NA,NA,NA,0,0,0,NA,NA,0.896069347858429,3,1,1962.79162597656,1962.875,20,0.0833740234375,1963.20837402344,0.3333740234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,1,NA,0,0,0,0,1,0,7.5,12,12,12
523,2555771,1,0.6943,54390,NA,0.6903,54076,0.780561566352844,54179,10,0,1,2,1,NA,NA,1,NA,2,NA,1,1,66,12,9,7,13,2,0,NA,1,NA,NA,1,1,NA,37,6,37,7,38,6,38,5,1,NA,NA,1,NA,2,2,2,2,1,0,0,0,0,1,1,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,1,-2,6,58,5,3,13,4,1,1,1,2,1,18,1,1,4,9,1,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,NA,1,1,66,12,9,7,13,1,1,2,0,1,1,1,NA,1971,6,0,1971,7,0,1972,6,NA,1972,5,NA,NA,NA,NA,1,NA,NA,1,20,2,2,2,2,1,0,0,0,1,1,1,NA,NA,NA,0,0,1,46,NA,0.764310717582703,1,0,1971.45837402344,1971.54162597656,12,0.083251953125,1972.45837402344,0.916748046875,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,5,0,1,0,0,1,0,12,17,16,17
524,2054225,1,NA,NA,0.4638,NA,NA,0.143722712993622,9976,7,0,1,1,1,NA,NA,1,NA,1,1,1,1,57,10,9,7,12,1,1,NA,1,NA,NA,5,1,NA,50,1,50,1,50,3,79,11,2,1,19,1,NA,2,2,2,2,1,0,0,0,0,1,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,1,-2,6,55,5,3,13,4,1,1,1,2,1,19,1,1,4,8,1,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,57,10,9,7,12,1,1,1,1,1,5,1,NA,1984,1,0,1984,1,0,1984,3,NA,2013,11,NA,NA,NA,NA,2,1,18,1,74,2,2,2,2,1,0,0,0,1,1,1,NA,NA,NA,0,0,1,33.5,NA,0.202241823077202,1,0,1984.04162597656,1984.04162597656,22,0,1984.20837402344,0.166748046875,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,74,3,5,0,1,0,0,1,0,12,16,13,17
525,2724951,1,0.8928,69940,NA,0.8877,69540,1.00377297401428,69672,13,0,1,2,1,NA,NA,1,NA,2,NA,1,1,66,10,12,3,9,1,15,NA,1,NA,NA,1,1,NA,37,1,37,1,38,1,38,1,1,NA,NA,1,NA,1,2,1,2,1,1,1,0,0,1,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,2,3,65,6,4,10,3,1,1,1,2,3,14,1,1,2,3,1,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,NA,1,1,66,10,12,3,9,1,1,1,15,1,1,1,NA,1971,1,0,1971,1,0,1972,1,NA,1972,1,NA,NA,NA,NA,1,NA,NA,1,195,1,2,1,2,1,1,1,0,1,1,1,NA,NA,NA,0,0,1,46.5,NA,0.982875049114227,1,0,1971.04162597656,1971.04162597656,19,0,1972.04162597656,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,195,4,5,1,1,0,0,1,0,16,12,13,13
526,2872129,1,1.1149,87338,1.2344,1.1085,86837,0.382516831159592,26551,20,0,1,2,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,NA,NA,2,1,1991,10,9,4,10,1,3,NA,0,NA,3,1,79,6,81,1,-1,-1,NA,NA,81,1,2,NA,NA,4,3,25,4,2,2,2,2,0,0,0,1,0,1,2,2,2,2,5,1,1,1,2,4,25,2,1,11,3,1,1,1,1,3,8,5,1,3,6,2,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,2,26,10,9,4,10,1,1,1,3,0,3,NA,1,2013,6,0,2015,1,0,NA,NA,NA,NA,NA,2015,1,NA,NA,4,3,24,4,224,2,2,2,2,0,0,0,1,1,NA,2,2,2,2,3.5,1,0,NA,3.5,0.538264989852905,3,0,2013.45837402344,2015.04162597656,21,1.583251953125,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,2,NA,0,0,0,1,1,1,12,13,13,14
527,2170187,1,0.3483,27285,NA,0.3463,27128,0.391581147909164,27180,64,0,1,2,2,1,NA,1,NA,2,NA,1,1,65,11,9,3,4,1,0,NA,NA,1,NA,1,1,NA,75,8,75,12,78,3,NA,NA,1,NA,NA,3,NA,2,2,2,2,0,0,0,1,0,3,1,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,4,2,6,66,6,4,11,3,5,1,1,2,1,8,3,1,2,3,1,0,0,0,0,2,5,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,NA,1,1,65,11,9,3,4,1,1,1,0,1,1,1,NA,2009,8,0,2009,12,0,2012,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,123,2,2,2,2,0,0,0,1,3,1,1,NA,NA,NA,0,0,0,7.58333349227905,NA,0.383428663015366,2,0,2009.625,2009.95837402344,58,0.3333740234375,2012.20837402344,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,123,2,5,0,0,0,0,3,1,12,7.5,14,14
528,2603029,1,1.6159,126586,NA,1.6067,125865,1.8167872428894,126103,7,0,1,2,1,NA,NA,1,NA,1,NA,2,1,36,9,4,4,5,1,4,NA,1,NA,1,NA,1,NA,64,6,64,6,65,7,65,7,1,NA,NA,3,NA,2,NA,1,2,1,0,0,0,0,1,2,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,1,1,2,4,35,3,2,9,2,4,2,0,5,1,10,1,1,3,7,2,0,0,1,2,2,7,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,2,1,36,9,4,4,5,1,1,1,4,1,1,1,NA,1998,6,0,1998,6,0,1999,7,NA,1999,7,NA,NA,NA,NA,1,NA,NA,3,154,2,NA,1,2,1,0,0,0,1,2,1,NA,NA,NA,0,0,1,19.0833339691162,NA,1.77896273136139,1,1,1998.45837402344,1998.45837402344,16,0,1999.54162597656,1.083251953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,154,1,4,0,0,0,0,2,1,7.5,9,12,12
529,2855333,1,0.9134,71553,NA,0.9081,71138,1.02684044837952,71273,34,0,1,2,1,NA,NA,1,NA,2,NA,1,1,27,12,13,5,12,1,4,NA,1,NA,NA,1,1,NA,73,8,73,12,78,3,78,3,1,NA,NA,1,NA,2,1,2,2,0,0,0,1,0,1,2,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,1,5,28,2,1,12,4,1,1,1,2,3,13,1,1,3,5,1,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,NA,1,1,27,12,13,5,12,1,1,1,4,1,1,1,NA,2007,8,0,2007,12,0,2012,3,NA,2012,3,NA,NA,NA,NA,1,NA,NA,1,570,2,1,2,2,0,0,0,1,1,2,1,NA,NA,NA,0,0,1,9.58333301544189,NA,1.00546228885651,1,0,2007.625,2007.95837402344,18,0.3333740234375,2012.20837402344,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,1,4,0,0,0,0,1,0,17,16,16,16
530,2688777,1,0.8046,63030,NA,0.8,62670,0.904605627059937,62789,6,0,1,2,2,1,NA,1,NA,2,NA,1,3,50,8,8,4,9,1,4,NA,NA,2,NA,1,2,2,74,8,74,-1,NA,NA,NA,NA,1,NA,NA,1,-1,2,NA,2,2,0,0,0,1,0,1,1,-1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,6,60,5,4,11,3,1,1,1,1,1,16,3,1,1,2,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,NA,1,3,50,8,8,4,9,1,1,1,4,2,1,2,2,2008,8,0,2008,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,2,NA,2,2,0,0,0,1,1,1,1,NA,NA,NA,0,0,0,8.66666698455811,NA,0.885772287845612,2,0,2008.625,2008.875,51,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,5,NA,NA,NA,NA,1,1,12,12,12,14
532,2832409,1,1.1336,88803,NA,1.1271,88294,1.27447617053986,88462,13,0,1,2,1,NA,NA,1,NA,1,NA,5,1,32,12,9,2,11,2,14,NA,1,NA,2,NA,1,NA,70,10,70,11,72,10,72,10,1,NA,NA,3,NA,2,2,2,2,1,1,1,0,0,3,2,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,2,2,32,2,2,12,4,1,2,1,4,2,14,1,1,2,3,1,1,1,0,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,5,1,32,12,9,2,11,1,1,2,14,1,2,1,NA,2004,10,0,2004,11,0,2006,10,NA,2006,10,NA,NA,NA,NA,1,NA,NA,3,423,2,2,2,2,1,1,1,0,3,2,1,NA,NA,NA,0,0,1,12.6666669845581,NA,1.24794232845306,1,1,2004.79162597656,2004.875,19,0.0833740234375,2006.79162597656,1.9166259765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,423,1,4,0,0,0,0,1,0,12,14,16,16
533,1925493,1,1.0691,83751,NA,1.063,83273,1.20199465751648,83431,15,0,1,2,1,NA,NA,1,NA,2,NA,1,2,70,10,9,5,9,1,0,NA,1,NA,NA,1,1,NA,26,4,26,6,30,11,30,11,1,NA,NA,3,NA,1,NA,1,2,1,1,1,0,0,1,1,-1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,2,1,1,3,71,6,4,9,2,2,1,1,2,1,10,1,1,3,5,1,0,0,0,0,2,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,NA,1,2,70,10,9,5,9,1,1,1,0,1,1,1,NA,1960,4,0,1960,6,0,1964,11,NA,1964,11,NA,NA,NA,NA,1,NA,NA,3,139,1,NA,1,2,1,1,1,0,1,1,1,NA,NA,NA,0,0,1,57.0833320617676,NA,1.17696988582611,1,0,1960.29162597656,1960.45837402344,14,0.166748046875,1964.875,4.4166259765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,1,5,0,0,0,0,2,0,12,12,13,12
534,2032401,1,1.7463,136801,NA,1.7363,136017,1.96333336830139,136275,39,0,1,2,2,1,NA,1,NA,2,NA,1,4,28,13,12,6,9,1,0,NA,NA,0,NA,1,1,NA,75,12,75,12,77,12,NA,NA,1,NA,NA,1,NA,2,1,2,2,0,0,1,0,0,1,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,1,1,-2,6,29,2,1,13,4,3,1,1,2,3,18,6,1,3,5,2,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,NA,1,4,28,13,12,6,9,1,1,1,0,0,1,1,NA,2009,12,0,2009,12,0,2011,12,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,159,2,1,2,2,0,0,1,0,1,1,1,NA,NA,NA,0,0,0,7.58333349227905,NA,1.9224579334259,2,0,2009.95837402344,2009.95837402344,21,0,2011.95837402344,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,2,5,0,0,0,1,4,0,16,12,17,17
536,2906635,1,0.9824,76959,0.6535,0.9768,76520,0.202507078647614,14056,16,0,1,2,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,2,1,1997,10,-1,7,9,1,10,NA,0,3,NA,2,81,9,81,10,NA,NA,NA,NA,82,6,2,NA,NA,4,2,20,1,2,1,2,2,0,0,0,1,0,8,2,3,2,3,7,1,1,1,-2,4,20,1,1,11,3,1,2,0,2,1,16,5,1,2,3,1,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,1,20,10,-1,7,9,1,1,1,10,0,3,NA,2,2015,9,0,2015,10,0,NA,NA,NA,NA,NA,2016,6,NA,NA,4,2,19,1,103,2,1,2,2,0,0,0,1,8,NA,2,3,2,3,13,1,0,NA,13,0.284961253404617,3,1,2015.70837402344,2015.79162597656,18,0.083251953125,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,103,1,NA,0,0,0,0,1,0,NA,12,13,14
